Category	Msg	Pattern
attempted-dos	ET DOS Possible Cisco ASA 5500 Series Adaptive Security Appliance Remote SIP Inspection Device Reload Denial of Service Attempt	"/REGISTER.{400}/smi"
attempted-dos	ET DELETED HELO Non-Displayable Characters MailEnable Denial of Service	"/^[^\n]*[\x00-\x08\x0e-\x1f]/R"
attempted-dos	ET DOS Possible MYSQL GeomFromWKB() function Denial Of Service Attempt	"/SELECT.+geometrycollectionfromwkb/si"
attempted-dos	ET DOS Possible MYSQL SELECT WHERE to User Variable Denial Of Service Attempt	"/SELECT.+WHERE.+SELECT.+\x60/si"
attempted-dos	ET DOS Possible MySQL ALTER DATABASE Denial Of Service Attempt	"/ALTER.+DATABASE.+\x22\x2E(\x22|\x2E\x22|\x2E\x2E\x2F\x22).+UPGRADE.+DATA/si"
attempted-user	ET EXPLOIT UPnP DLink M-Search Overflow Attempt	"/M-SEARCH\s+[^\n]{500}/i"
web-application-attack	ET EXPLOIT GuildFTPd CWD and LIST Command Heap Overflow - POC-1	"/(\/\.){70,}/i"
web-application-attack	ET EXPLOIT GuildFTPd CWD and LIST Command Heap Overflow - POC-2	"/[\w]{70,}/i"
attempted-admin	ET EXPLOIT HP Open View Data Protector Buffer Overflow Attempt	"/\xB6\x29\x8C\x23\xFF\xFF\xFF[\xF8-\xFF]/"
attempted-admin	ET NETBIOS SMB-DS DCERPC PnP QueryResConfList exploit attempt	"/(\x00\\\x00.*?){2}\x00{2}\xFF{2}.{128,}[\x04-\xFF][\x00-\xFF]{3}\x00{4}$/Rs"
attempted-dos	ET EXPLOIT DOS Microsoft Windows SRV.SYS MAILSLOT	"/^.{27}/sR"
successful-user	ET EXPLOIT MDAEMON (Post Auth) Remote Root IMAP FETCH Command Universal Exploit	"/[0-9a-zA-Z]{200,}/R"
attempted-admin	ET EXPLOIT MySQL MaxDB Buffer Overflow	"/(GET).\/%.{1586,}/i"
attempted-admin	ET EXPLOIT Possible Oracle Database Text Component ctxsys.drvxtabc.create_tables Remote SQL Injection Attempt	"/ctxsys\x2Edrvxtabc\x2Ecreate\x5Ftables.+(SELECT|DELETE|CREATE|INSERT|UPDATE|OUTFILE)/si"
misc-attack	ET EXPLOIT FTP .message file write	"/[^a-zA-Z0-9]+\.message/"
misc-attack	ET EXPLOIT SecurityGateway 1.0.1 Remote Buffer Overflow	"/\x3d[^\x26]{720}/R"
attempted-admin	ET EXPLOIT Xerox WorkCentre PJL Daemon Buffer Overflow Attempt	"/ENTER\x20LANGUAGE\x20\x3D.{55}/smi"
policy-violation	ET DELETED SMTP US Secret REL TO	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*REL\sTO\sUSA[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Confidential COMINT	"/(CONFIDENTIAL|C)//[\s\w,/-]*(COMINT|SI)[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Top Secret COMINT	"/(TOP\sSECRET|TS)//[\s\w,/-]*(COMINT|SI)[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Secret COMINT	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*(COMINT|SI)[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Secret COMSEC	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*COMSEC[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Secret IMCON	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*(IMCON|IMC)[\s\w,/-]*(?=//(X1|MR))/ism"
policy-violation	ET DELETED SMTP US Secret CNWDI	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*(CRITICAL\sNUCLEAR\sWEAPON\sDESIGN\sINFORMATION|CNWDI)[\s\w,/-]*(?=//MR)/ism"
policy-violation	ET DELETED SMTP US Secret TK	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*(TALENT\sKEYHOLE|TK)[\s\w,/-]*(?=//(25)?X[1-9])/ism"
